path,bytes,sha256,rights,referenced,treatment
"/audio/cda001-reflection.mp3","4587469","40f506d1f64ea20c547a815fbcfc0a33285759a5cca329884642d46e40fcc77a","owned","false","local governed asset"
"/audio/labprmg001-baseline.mp3","4910368","38eaf7bb1e46888a28ef725243ec0808edc5df2324bc07f71e2d7291f5813a85","owned","false","local governed asset"
"/brand/cryptic-design-logo.svg","2868","322327fb9d32220a90b7bddc41d08335e7021fa28b2c4ffa88e2e09df4b18712","owned","true","local governed asset"
"/images/articles/2026-game-design-benchmarks.png","1746824","c25bbff2931b99478b557ca2cc90260c2c33edbc29dcd3bf682cc22473d58fce","owned","true","local governed asset"
"/images/articles/ai-in-ux-design.png","1734756","1c3fe33b11d3b2ec406400609e6f6f3ccfd9777cc5fe8393d047c441d3725b42","owned","true","local governed asset"
"/images/articles/arc-raiders-a-player-experience-review.jpg","93800","4605246cdd6f3e441991a2040bdf5403e074818c57316b41fa945f2922150948","owned","true","local governed asset"
"/images/articles/artificial-intelligence-2023-q1-cryptic-insights.png","1024130","effa6a20284331aefc156407f04cd1cbd237e83185a232ca67b69707cf447615","owned","true","local governed asset"
"/images/articles/editorial/2026-game-design-benchmarks/CRY_IMG_DesignBenchmarks_v1.png","695219","9d3afb00e1e8a3ac73096859685ab0e18466747f47820050819e235e74bd4bda","owned","false","local governed asset"
"/images/articles/editorial/2026-game-design-benchmarks/CRY_IMG_GamesAsSystems_v1.png","755286","65abc0adef5ca0073dcf0b5256ebb97f2f0d81b3f8c5edf874cd15d06f86ccdc","owned","false","local governed asset"
"/images/articles/editorial/2026-game-design-benchmarks/CRY_IMG_StealthAndAgency_v1.png","254971","4b860886abf3088e218dc73581116c14935924460ee576cf44fd7116ce916a38","owned","false","local governed asset"
"/images/articles/editorial/2026-game-design-benchmarks/CRY_IMG_SurvivalSystems_v1.png","280883","e53f60680acef9f285a1c6bbd8cf48146ddbb214270c67e354cf1ec80cf1b1e6","owned","false","local governed asset"
"/images/articles/editorial/2026-game-design-benchmarks/CRY_IMG_SystemicDensity_v1.png","495154","ea9fd6ac9d43a66a648ff9888d28e92489e1edda4ca569d2dfd7f15bbec5785b","owned","false","local governed asset"
"/images/articles/editorial/ai-in-ux-design/CRY_IMG_MarketingSeamlessUX.png","814309","abfc436829086ccb6d506d88dda310fce0de6fd441903e8305fdbb5329147992","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersHeader.png","325173","59515859c3ddccae77c4eb3809b5fbe484643f9aae41b4484f1a552eb4adeccc","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_001.jpg","166853","ece07d89a0f22dd5d4e118eed5d33566bd590612aec20712a522a20e23bdb443","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_002.jpg","101888","b2122460627cc3f9d15f73199bd95ef746923480f60da03bb58d195dd4677f78","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_003.jpg","113303","c9054e43cdea25a454ba524c49828d7538fb18bb00263bd27b22a556ae7332f3","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_004.jpg","186523","0d82fee7be93f5cedaa0f5134b9b93f197bffe209abe3648edbcb0065ed53728","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_005.jpg","210804","e9663685cc28b82531d4772a8942aa4e5ac3ca78d0ea6a39e0cbbcb629450087","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_006.jpg","165083","47d2f19bc7e77eef73943fa86f7126ef6768762adf73b1d42d45213d3d8f0dff","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_008.jpg","95480","df5b717da5f3b0f283ec3cc269cee81c6519e29459fc173a2c79d2a4d3b011ba","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_009.jpg","238337","68ec1c2f4f42815fd19f2b21857b4345261e78dff413faff1d1f377cdeca215b","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_011.jpg","131519","8b4ed4ba6d7191aa7189e60977602fca9af64f7136084f32bcd774844dd64e31","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_012.jpg","111138","6bd7ee6daf86847583fe205a4074844aec5596e415225f496a9bbbe708df2224","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_013.jpg","155466","1abc44aaf1bdaa153dfee6f60194d8d8b0c7a13bd174805da2ce8d47372df918","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_014.jpg","161872","733dab0709cc0f8eb0d290450117310019809a5c4ca4aebb52d1da77f669bc64","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_015.jpg","133682","7a19c56e06d53ca8981543d57a0d82eaad560f11f40332ed6db087a92ba60fb8","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_016.jpg","171315","96b977c55dda32862200cf9445ba16c41789e8291a932c6ba53109da23f7a958","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_017.jpg","135722","50ce1b596d7d12b40677438a8ae3a3a1824ee3e7976540668398126cf9101fbe","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_018.jpg","89431","60fbf9ae63fff6ffc3083f72d0f12d06856c54393a4e17b8d547be654db739e1","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_019.jpg","145656","3930bb6c41d884fc8f98415be47a372dd021a63a3cf7d98da7be5db46777ac8b","owned","false","local governed asset"
"/images/articles/editorial/arc-raiders-a-player-experience-review/CRY_IMG_ARCRaidersScreenshot_020.jpg","127985","ad03445e863c29dc1b74f4f64efec90f984130e283857ae0641df21111adf434","owned","false","local governed asset"
